category,name,definition
Creating a Character,Equipment,"Coin | CP | SP | EP | GP | PP
Copper (cp) | 1 | 1/10 | 1/50 | 1/100 | 1/1,000
Silver (sp) | 10 | 1 | 1/5 | 1/10 | 1/100
Electrum (ep) | 50 | 5 | 1 | 1/2 | 1/20
Gold (gp) | 100 | 10 | 2 | 1 | 1/10
Platinum (pp) | 1,000 | 100 | 20 | 10 | 1"
Equipment,Selling Treasure,"Opportunities arise to find treasure, equipment, weapons, armor, and more in dungeons. You can sell your loot in towns or settlements if you find buyers.

Undamaged weapons, armor, and other equipment fetch half their cost in markets. Monsters’ weapons and armor are rarely in good condition for sale.

Selling magic items is tricky. Potions and scrolls are easy to find buyers for, but other items are rare and expensive, mostly for wealthy nobles. Magic items are far more valuable than gold and should be treated as such.

Gems, jewelry, and art objects retain their full value and can be traded for coin or used as currency. For exceptionally valuable treasures, the GM may require you to find a buyer in a large town or community.

Trade goods such as grain, salt, and domesticated beasts are sought after everywhere and so are unlikely to diminish much in value from place to place."
Equipment,Armor,"Fantasy gaming worlds have diverse cultures with varying technology levels, offering adventurers a wide range of armor types, from leather to chain mail and costly plate armor. The Armor table categorizes these common armor types into light, medium, and heavy armor, along with their cost, weight, and other properties. Many warriors also use shields.

**Armor Proficiency.** Anyone can put on a suit of armor or strap a shield to an arm. Only those proficient in the armor’s use know how to wear it effectively, however. Your class gives you proficiency with certain types of armor. If you wear armor that you lack proficiency with, you have disadvantage on any ability check, saving throw, or attack roll that involves Strength or Dexterity, and you can’t cast spells.

**Armor Class (AC).** Armor protects its wearer from attacks. The armor (and shield) you wear determines your base Armor Class.

**Heavy Armor.** Heavier armor interferes with the wearer’s ability to move quickly, stealthily, and freely. If the Armor table shows “Str 13” or “Str 15” in the Strength column for an armor type, the armor reduces the wearer’s speed by 10 feet unless the wearer has a Strength score equal to or higher than the listed score.

**Stealth.** If the Armor table shows “Disadvantage” in the Stealth column, the wearer has disadvantage on Dexterity (Stealth) checks.

**Shields.** A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time."
Armor,Light Armor,"Made from supple and thin materials, light armor favors agile adventurers since it offers some protection without sacrificing mobility. If you wear light armor, you add your Dexterity modifier to the base number from your armor type to determine your Armor Class.

**Padded.** Padded armor consists of quilted layers of cloth and batting.

**Leather.** The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.

**Studded Leather.** Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Armor,Medium Armor,"Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class.

**Hide.** This crude armor consists of thick furs and pelts.

**Chain Shirt.** Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer’s upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.

**Scale Mail.** This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.

**Breastplate.** This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer’s vital organs while leaving the wearer relatively unencumbered.

**Half Plate.** Half plate consists of shaped metal plates that cover most of the wearer’s body. It does not include leg protection beyond simple greaves that are attached with leather straps."
Armor,Heavy Armor,"Armor | Cost | Armor Class (AC) | Strength | Stealth | Weight
Light Armor |  |  |  |  | 
Padded | 5 gp | 11 + Dex modifier | — | Disadvantage | 8 lb.
Leather | 10 gp | 11 + Dex modifier | — | — | 10 lb.
Studded leather | 45 gp | 12 + Dex modifier | — | — | 13 lb.
Medium Armor |  |  |  |  | 
Hide | 10 gp | 12 + Dex modifier (max 2) | — | — | 12 lb.
Chain shirt | 50 gp | 13 + Dex modifier (max 2) | — | — | 20 lb.
Scale mail | 50 gp | 14 + Dex modifier (max 2) | — | Disadvantage | 45 lb.
Breastplate | 400 gp | 14 + Dex modifier (max 2) | — | — | 20 lb.
Half plate | 750 gp | 15 + Dex modifier (max 2) | — | Disadvantage | 40 lb.
Heavy Armor |  |  |  |  | 
Ring mail | 30 gp | 14 | — | Disadvantage | 40 lb.
Chain mail | 75 gp | 16 | Str 13 | Disadvantage | 55 lb.
Splint | 200 gp | 17 | Str 15 | Disadvantage | 60 lb.
Plate | 1,500 gp | 18 | Str 15 | Disadvantage | 65 lb.
Shield |  |  |  |  | 
Shield | 10 gp | +2 | — | — | 6 lb."
Armor,Getting Into and Out of Armor,"Category | Don | Doff
Light Armor | 1 minute | 1 minute
Medium Armor | 5 minutes | 1 minute
Heavy Armor | 10 minutes | 5 minutes
Shield | 1 action | 1 action"
Equipment,Weapons,"Your class grants proficiency in weapons reflecting its focus and your likely use. Whether you prefer a longsword or longbow, your weapon and skill can mean life or death in adventuring.

The Weapons table lists common fantasy weapons, their prices, weights, damage, and special properties. Each weapon is classified as **melee** (within 5 feet) or **ranged**."
Weapons,Weapon Proficiency,"Your ancestry, class, and feats grant proficiency with simple or martial weapons. **Simple** weapons, like clubs and maces, are easy to use and suitable for most people. **Martial** weapons, like swords and axes, require specialized training and are preferred by warriors for their effectiveness.

Proficiency with a weapon allows you to add your proficiency bonus to the attack roll for any attack you make with that weapon. If you make an attack roll using a weapon with which you lack proficiency, you do not add your proficiency bonus to the attack roll."
Weapons,Weapon Properties,"Many weapons have special properties related to their use, as shown in the Weapons table.

**Ammunition.** You can use a ranged weapon with ammunition only if you have ammunition. Each attack uses one piece of ammunition. Drawing ammunition from a container is part of the attack. You can recover half your expended ammunition by searching the battlefield at the end of the battle.

If you use a ranged weapon with ammunition for a melee attack, treat it as an improvised weapon. A sling must be loaded to deal damage.

**Finesse.** When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

**Heavy.** Small creatures have disadvantage on attack rolls with heavy weapons. A heavy weapon’s size and bulk make it too large for a Small creature to use effectively. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.

**Loading.** Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make.

**Range.** A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range.

**Reach.** This weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for opportunity attacks with it.

**Special.** A weapon with the special property has unusual rules governing its use, explained in the weapon’s description (see “Special Weapons” later in this section).

**Thrown.** If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.

**Two-Handed.** This weapon requires two hands when you attack with it.

**Versatile.** This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Weapon Properties,Improvised Weapons,"Characters without weapons may attack with improvised weapons, such as broken glass, table legs, frying pans, wagon wheels, or dead goblins. Often, improvised weapons resemble actual weapons and can be treated as such. For instance, a table leg is akin to a club. Proficient characters can use similar objects as weapons, utilizing their proficiency bonus. Objects unrelated to weapons deal 1d4 damage (assigned by the GM). Ranged weapons used for melee attacks or thrown melee weapons without the thrown property also deal 1d4 damage. Improvised thrown weapons have a normal range of 20 feet and a long range of 60 feet."
Weapon Properties,Silvered Weapons,"Some monsters that have immunity or resistance to nonmagical weapons are susceptible to silver weapons, so cautious adventurers invest extra coin to plate their weapons with silver. You can silver a single weapon or ten pieces of ammunition for 100 gp. This cost represents not only the price of the silver, but the time and expertise needed to add silver to the weapon without making it less effective."
Weapon Properties,Special Weapons,"Name | Cost | Damage | Weight | Properties
Simple Melee Weapons |  |  |  | 
Club | 1 sp | 1d4 bludgeoning | 2 lb. | Light
Dagger | 2 gp | 1d4 piercing | 1 lb. | Finesse, light, thrown (range 20/60)
Greatclub | 2 sp | 1d8 bludgeoning | 10 lb. | Two-handed
Handaxe | 5 gp | 1d6 slashing | 2 lb. | Light, thrown (range 20/60)
Javelin | 5 sp | 1d6 piercing | 2 lb. | Thrown (range 30/120)
Light hammer | 2 gp | 1d4 bludgeoning | 2 lb. | Light, thrown (range 20/60)
Mace | 5 gp | 1d6 bludgeoning | 4 lb. | —
Quarterstaff | 2 sp | 1d6 bludgeoning | 4 lb. | Versatile (1d8)
Sickle | 1 gp | 1d4 slashing | 2 lb. | Light
Spear | 1 gp | 1d6 piercing | 3 lb. | Thrown (range 20/60), versatile (1d8)
Simple Ranged Weapons |  |  |  | 
Crossbow, light | 25 gp | 1d8 piercing | 5 lb. | Ammunition (range 80/320), loading, two-handed
Dart | 5 cp | 1d4 piercing | 1/4 lb. | Finesse, thrown (range 20/60)
Shortbow | 25 gp | 1d6 piercing | 2 lb. | Ammunition (range 80/320), two-handed
Sling | 1 sp | 1d4 bludgeoning | — | Ammunition (range 30/120)
Martial Melee Weapons |  |  |  | 
Battleaxe | 10 gp | 1d8 slashing | 4 lb. | Versatile (1d10)
Flail | 10 gp | 1d8 bludgeoning | 2 lb. | —
Glaive | 20 gp | 1d10 slashing | 6 lb. | Heavy, reach, two-handed
Greataxe | 30 gp | 1d12 slashing | 7 lb. | Heavy, two-handed
Greatsword | 50 gp | 2d6 slashing | 6 lb. | Heavy, two-handed
Halberd | 20 gp | 1d10 slashing | 6 lb. | Heavy, reach, two-handed
Lance | 10 gp | 1d12 piercing | 6 lb. | Reach, special
Longsword | 15 gp | 1d8 slashing | 3 lb. | Versatile (1d10)
Maul | 10 gp | 2d6 bludgeoning | 10 lb. | Heavy, two-handed
Morningstar | 15 gp | 1d8 piercing | 4 lb. | —
Pike | 5 gp | 1d10 piercing | 18 lb. | Heavy, reach, two-handed
Rapier | 25 gp | 1d8 piercing | 2 lb. | Finesse
Saber | 25 gp | 1d6 slashing | 3 lb. | Finesse, light
Shortsword | 10 gp | 1d6 piercing | 2 lb. | Finesse, light
Trident | 5 gp | 1d6 piercing | 4 lb. | Thrown (range 20/60), versatile (1d8)
War pick | 5 gp | 1d8 piercing | 2 lb. | —
Warhammer | 15 gp | 1d8 bludgeoning | 2 lb. | Versatile (1d10)
Whip | 2 gp | 1d4 slashing | 3 lb. | Finesse, reach
Martial Ranged Weapons |  |  |  | 
Blowgun | 10 gp | 1 piercing | 1 lb. | Ammunition (range 25/100), loading
Crossbow, hand | 75 gp | 1d6 piercing | 3 lb. | Ammunition (range 30/120), light, loading
Crossbow, heavy | 50 gp | 1d10 piercing | 18 lb. | Ammunition (range 100/400), heavy, loading, two-handed
Longbow | 50 gp | 1d8 piercing | 2 lb. | Ammunition (range 150/600), heavy, two-handed
Net | 1 gp | — | 3 lb. | Special, thrown (range 5/15)"
Equipment,Adventuring Gear,"Item | Cost | Weight
Acid (vial) | 25 gp | 1 lb.
Alchemist’s fire (flask) | 50 gp | 1 lb.
Ammunition |  | 
- Arrows (20) | 1 gp | 1 lb.
- Blowgun needles (50) | 1 gp | 1 lb.
- Crossbow bolts (20) | 1 gp | 1½ lb.
- Sling bullets (20) | 4 cp | 1½ lb.
Antitoxin (vial) | 50 gp | —
Arcane focus |  | 
- Crystal | 10 gp | 1 lb.
- Orb | 20 gp | 3 lb.
- Rod | 10 gp | 2 lb.
- Staff | 5 gp | 4 lb.
- Wand | 10 gp | 1 lb.
Backpack | 2 gp | 5 lb.
Ball bearings (bag of 1,000) | 1 gp | 2 lb.
Barrel | 2 gp | 70 lb.
Basket | 4 sp | 2 lb.
Bedroll | 1 gp | 7 lb.
Bell | 1 gp | —
Blanket | 5 sp | 3 lb.
Block and tackle | 1 gp | 5 lb.
Book | 25 gp | 5 lb.
Bottle, glass | 2 gp | 2 lb.
Bucket | 5 cp | 2 lb.
Caltrops (bag of 20) | 1 gp | 2 lb.
Candle | 1 cp | —
Cane | 1 gp | 2 lb
Crutches (Axillary) | Wood: 2 gp; Metal: 10 gp | Wood: 10 lb; Metal: 15 lb
Crutches (Elbow, Metal) | 5 gp | 5 lb
Case, crossbow bolt | 1 gp | 1 lb.
Case, map or scroll | 1 gp | 1 lb.
Chain (10 feet) | 5 gp | 10 lb.
Chalk (1 piece) | 1 cp | —
Chest | 5 gp | 25 lb.
Climber’s kit | 25 gp | 12 lb.
Clothes, common | 5 sp | 3 lb.
Clothes, costume | 5 gp | 4 lb.
Clothes, fine | 15 gp | 6 lb.
Clothes, traveler’s | 2 gp | 4 lb.
Component pouch | 25 gp | 2 lb.
Crowbar | 2 gp | 5 lb.
Wodewose focus |  | 
- Sprig of mistletoe | 1 gp | —
- Totem | 1 gp | —
- Wooden staff | 5 gp | 4 lb.
- Yew wand | 10 gp | 1 lb.
Earplugs | 5 sp | —
Fidget | 1 sp | —
Fishing tackle | 1 gp | 4 lb.
Flask or tankard | 2 cp | 1 lb.
Grappling hook | 2 gp | 4 lb.
Hammer | 1 gp | 3 lb.
Hammer, sledge | 2 gp | 10 lb.
Healer’s kit | 5 gp | 3 lb.
Holy symbol |  | 
- Amulet | 5 gp | 1 lb.
- Emblem | 5 gp | —
- Reliquary | 5 gp | 2 lb.
Holy water (flask) | 25 gp | 1 lb.
Hourglass | 25 gp | 1 lb.
Hunting trap | 5 gp | 25 lb.
Ink (1 ounce bottle) | 10 gp | —
Ink pen | 2 cp | —
Jug or pitcher | 2 cp | 4 lb.
Ladder (10-foot) | 1 sp | 25 lb.
Lamp | 5 sp | 1 lb.
Lantern, bullseye | 10 gp | 2 lb.
Lantern, hooded | 5 gp | 2 lb.
Lock | 10 gp | 1 lb.
Magnifying glass | 100 gp | —
Manacles | 2 gp | 6 lb.
Mess kit | 2 sp | 1 lb.
Mirror, steel | 5 gp | 1/2 lb.
Oil (flask) | 1 sp | 1 lb.
Paper (one sheet) | 2 sp | —
Parchment (one sheet) | 1 sp | —
Perfume (vial) | 5 gp | —
Pick, miner’s | 2 gp | 10 lb.
Piton | 5 cp | 1/4 lb.
Poison, basic (vial) | 100 gp | —
Pole (10-foot) | 5 cp | 7 lb.
Pot, iron | 2 gp | 10 lb.
Potion of healing 5 | 0 gp | 1/2 lb.
Pouch | 5 sp | 1 lb.
Prosthetic Arm/Hand | 5 gp + 50 gp × customization | Varies
Prosthetic Leg/Foot | 10 gp + 50 gp × customization | Varies
Quiver | 1 gp | 1 lb.
Ram, portable | 4 gp | 35 lb.
Rations (1 day) | 5 sp | 2 lb.
Robes | 1 gp | 4 lb.
Rope, hempen (50 feet) | 1 gp | 10 lb.
Rope, silk (50 feet) | 10 gp | 5 lb.
Sack | 1 cp | 1/2 lb.
Scale, merchant’s | 5 gp | 3 lb.
Sealing wax | 5 sp | —
Shovel | 2 gp | 5 lb.
Signal whistle | 5 cp | —
Signet ring | 5 gp | —
Soap | 2 cp | —
Spectacles | 200 gp + 100 gp × customization | —
Spellbook | 50 gp | 3 lb.
Spikes, iron (10) | 1 gp | 5 lb.
Spyglass | 1,000 gp | 1 lb.
Tent, two-person | 2 gp | 20 lb.
Tinderbox | 5 sp | 1 lb.
Torch | 1 cp | 1 lb.
Vial | 1 gp | —
Waterskin | 2 sp | 5 lb. (full)
Weighted Blanket | 20 gp | 10% of body weight
Wheelchair | 50 gp | 50 lb
Whetstone | 1 cp | 1 lb.
Container | Capacity
Backpack* | 1 cubic foot/30 pounds of gear
Barrel | 40 gallons liquid, 4 cubic feet solid
Basket | 2 cubic feet/40 pounds of gear
Bottle | 1½ pints liquid
Bucket | 3 gallons liquid, 1/2 cubic foot solid
Chest | 12 cubic feet/300 pounds of gear
Flask or tankard | 1 pint liquid
Jug or pitcher | 1 gallon liquid
Pot, iron | 1 gallon liquid
Pouch | 1/5 cubic foot/6 pounds of gear
Sack | 1 cubic foot/30 pounds of gear
Vial | 4 ounces liquid
Waterskin | 4 pints liquid"
Adventuring Gear,Equipment Packs,"The starting equipment you get from your class includes a collection of useful adventuring gear, put together in a pack. The contents of these packs are listed here. If you are buying your starting equipment, you can purchase a pack for the price shown, which might be cheaper than buying the items individually.

**Burglar’s Pack (16 gp).** Includes a backpack, a bag of 1,000 ball bearings, 10 feet of string, a bell, 5 candles, a crowbar, a hammer, 10 pitons, a hooded lantern, 2 flasks of oil, 5 days rations, a tinderbox, and a waterskin. The pack also has 50 feet of hempen rope strapped to the side of it.

**Diplomat’s Pack (39 gp).** Includes a chest, 2 cases for maps and scrolls, a set of fine clothes, a bottle of ink, an ink pen, a lamp, 2 flasks of oil, 5 sheets of paper, a vial of perfume, sealing wax, and soap.

**Dungeoneer’s Pack (12 gp).** Includes a backpack, a crowbar, a hammer, 10 pitons, 10 torches, a tinderbox, 10 days of rations, and a waterskin. The pack also has 50 feet of hempen rope strapped to the side of it.

**Entertainer’s Pack (40 gp).** Includes a backpack, a bedroll, 2 costumes, 5 candles, 5 days of rations, a waterskin, and a disguise kit.

**Explorer’s Pack (10 gp).** Includes a backpack, a bedroll, a mess kit, a tinderbox, 10 torches, 10 days of rations, and a waterskin. The pack also has 50 feet of hempen rope strapped to the side of it.

**Priest’s Pack (19 gp).** Includes a backpack, a blanket, 10 candles, a tinderbox, an alms box, 2 blocks of incense, a censer, vestments, 2 days of rations, and a waterskin.

**Scholar’s Pack (40 gp).** Includes a backpack, a book of lore, a bottle of ink, an ink pen, 10 sheets of parchment, a little bag of sand, and a small knife."
Equipment,Tools,"Item | Cost | Weight
Artisan’s tools |  | 
- Alchemist’s supplies | 50 gp | 8 lb.
- Brewer’s supplies | 20 gp | 9 lb.
- Calligrapher's supplies | 10 gp | 5 lb.
- Carpenter’s tools | 8 gp | 6 lb.
- Cartographer’s tools | 15 gp | 6 lb.
- Cobbler’s tools | 5 gp | 5 lb.
- Cook’s utensils | 1 gp | 8 lb.
- Glassblower’s tools | 30 gp | 5 lb.
- Jeweler’s tools | 25 gp | 2 lb.
- Leatherworker’s tools | 5 gp | 5 lb.
- Mason’s tools | 10 gp | 8 lb.
- Painter’s supplies | 10 gp | 5 lb.
- Potter’s tools | 10 gp | 3 lb.
- Smith’s tools | 20 gp | 8 lb.
- Tinker’s tools | 50 gp | 10 lb.
- Weaver’s tools | 1 gp | 5 lb.
- Woodcarver’s tools | 1 gp | 5 lb.
Disguise kit | 25 gp | 3 lb.
Forgery kit | 15 gp | 5 lb.
Gaming set |  | 
- Dice set | 1 sp | —
- Playing card set | 5 sp | —
Herbalism kit | 5 gp | 3 lb.
Musical instrument |  | 
- Bagpipes | 30 gp | 6 lb.
- Drum | 6 gp | 3 lb.
- Dulcimer | 25 gp | 10 lb.
- Flute | 2 gp | 1 lb.
- Lute | 35 gp | 2 lb.
- Lyre | 30 gp | 2 lb.
- Horn | 3 gp | 2 lb.
- Pan flute | 12 gp | 2 lb.
- Shawm | 2 gp | 1 lb.
- Viol | 30 gp | 1 lb.
Navigator’s tools | 25 gp | 2 lb.
Poisoner’s kit | 50 gp | 2 lb.
Thieves’ tools | 25 gp | 1 lb.
Vehicles (land or water) | * | *"
Equipment,Mounts and Vehicles,"Item | Cost | Speed | Carrying Capacity
Camel | 50 gp | 50 ft. | 480 lb.
Donkey or mule | 8 gp | 40 ft. | 420 lb.
Elephant | 200 gp | 40 ft. | 1,320 lb.
Horse, draft | 50 gp | 40 ft. | 540 lb.
Horse, riding | 75 gp | 60 ft. | 480 lb.
Mastiff | 25 gp | 40 ft. | 195 lb.
Pony | 30 gp | 40 ft. | 225 lb.
Warhorse | 400 gp | 60 ft. | 540 lb.
Item | Cost | Weight
Barding | ×4 | ×2
Bit and bridle | 2 gp | 1 lb.
Carriage | 100 gp | 600 lb.
Cart | 15 gp | 200 lb.
Chariot | 250 gp | 100 lb.
Feed (per day) | 5 cp | 10 lb.
Saddle |  | 
- Exotic | 60 gp | 40 lb.
- Military | 20 gp | 30 lb.
- Pack | 5 gp | 15 lb.
- Riding | 10 gp | 25 lb.
Saddlebags | 4 gp | 8 lb.
Sled | 20 gp | 300 lb.
Stabling (per day) | 5 sp | —
Wagon | 35 gp | 400 lb.
Item | Cost | Speed
Galley | 30,000 gp | 4 mph
Keelboat | 3,000 gp | 1 mph
Longship | 10,000 gp | 3 mph
Rowboat | 50 gp | 1½ mph
Sailing ship | 10,000 gp | 2 mph
Warship | 25,000 gp | 2½ mph"
Equipment,Trade Goods,"Cost | Goods
1 cp | 1 lb. of wheat
2 cp | 1 lb. of flour or one chicken
5 cp | 1 lb. of salt
1 sp | 1 lb. of iron or 1 sq. yd. of canvas
5 sp | 1 lb. of copper or 1 sq. yd. of cotton cloth
1 gp | 1 lb. of ginger or one goat
2 gp | 1 lb. of cinnamon or pepper, or one sheep
3 gp | 1 lb. of cloves or one pig
5 gp | 1 lb. of silver or 1 sq. yd. of linen
10 gp | 1 sq. yd. of silk or one cow
15 gp | 1 lb. of saffron or one ox
50 gp | 1 lb. of gold
500 gp | 1 lb. of platinum"
Equipment,Expenses,"Adventurers face mundane realities beyond exploring ruins, waging war, or delving into the earth’s depths. In a fantastical world, people need shelter, sustenance, and clothing, which cost money, with some lifestyles incurring higher costs."
rule,Adventuring,"Life as an adventurer is full of danger, discovery, and opportunity. Adventurers must rely on skill, strategy, and teamwork to survive and thrive in a world of endless possibilities."
Adventuring,Roleplay,"Roleplay, the core of collaborative storytelling, allows players to embody characters, interact with the world, and influence its course through dialogue, decisions, and relationships. It enhances the narrative beyond combat and exploration by expressing characters’ personalities, motivations, and quirks.

Roleplay offers various opportunities, such as persuasion, deception, empathy, and in-party dynamics. It thrives on creativity and improvisation, enabling players to explore characters and the game world’s emotional and social depth. While dice rolls may not be prevalent, well-timed skill checks add depth, blending game mechanics with storytelling.

Examples include:

    ●  	Spinning a compelling tale and rolling a Charisma (Persuasion) check to convince a guard to let the party enter a restricted area.

    ●  	Bluffing a rival merchant to negotiate a better deal with a Charisma (Deception) check.

    ●  	Roleplaying a character’s reaction to a major failure, like mourning a fallen ally.

    ●  	Navigating court politics to gain favor or sow discord.

    ●  	Convincing a dragon to spare the party by exploiting its vanity or offering an unconventional gift, the gift giving advantage on a Charisma (Persuasion) check."
Adventuring,Exploration,"Exploration is more than just travel; it’s the thrill of the unknown. Adventurers face environmental challenges, solve mysteries, and adapt to changing landscapes."
Exploration,Time,"In situations where keeping track of the passage of time is important, the GM determines the time a task requires. The GM might use a different time scale depending on the context of the situation at hand. In a dungeon environment, the adventurers’ movement happens on a scale of **minutes**. It takes them about a minute to creep down a long hallway, another minute to check for traps on the door at the end of the hall, and a good ten minutes to search the chamber beyond for anything interesting or valuable.

In a city or wilderness, a scale of **hours** is often more appropriate. Adventurers eager to reach the lonely tower at the heart of the forest hurry across those fifteen miles in just under four hours’ time.

For long journeys, a scale of **days** works best.

In combat and other fast-paced situations, the game relies on **rounds**, a 6-second span of time."
Exploration,Movement,"Swimming, sneaking, scaling—movement plays a key role in fantasy gaming adventures.

The GM can summarize adventurers’ movement without calculating distances or travel times: “You travel through the forest and find the dungeon entrance late on the third day.” In dungeons, especially large ones or cave networks, the GM can summarize movement between encounters: “After killing the guardian, you consult your map, leading you through miles of echoing corridors to a chasm bridged by a narrow stone arch.”

Sometimes, knowing travel time is important, whether in days, hours, or minutes. Travel time depends on two factors: the speed and pace of creatures moving and the terrain they’re moving over."
Movement,Speed,"Every character and monster has a speed, which is the distance in feet that the character or monster can walk in 1 round. This number assumes short bursts of energetic movement in the midst of a life-threatening situation.

The following rules determine how far a character or monster can move in a minute, an hour, or a day."
Movement,Difficult Terrain,"Adventurers often face dense forests, deep swamps, rubble-filled ruins, steep mountains, and ice-covered ground—all considered difficult terrain.

You move at half speed in difficult terrain— moving 1 foot in difficult terrain costs 2 feet of speed—so you can cover only half the normal distance in a minute, an hour, or a day."
Movement,Special Types of Movement,"Movement through dangerous dungeons or wilderness areas often involves more than simply walking. Adventurers might have to climb, crawl, swim, or jump to get where they need to go."
Movement,"Climbing, Swimming, and Crawling","While climbing or swimming, each foot of movement costs 1 extra foot (2 extra feet in difficult terrain), unless a creature has a climbing or swimming speed. At the GM’s option, climbing a slippery vertical surface or one with few handholds requires a successful Strength (Athletics) check. Similarly, gaining any distance in rough water might require a successful Strength (Athletics) check."
Movement,Jumping,"Type of Jump | Jump Distance | Conditions | Checks
Long Jump (running) | Up to your Strength score (feet) with a 10-foot running start | Height doesn’t matter unless specified by the GM | DC 10 Strength (Athletics) to clear a low obstacle; DC 10 Dexterity (Acrobatics) to avoid falling prone in difficult terrain
Long Jump (standing) | Half your Strength score (feet) | Each foot jumped uses 1 foot of movement | Same as running long jump
High Jump (running) | 3 + Strength modifier (feet) with a 10-foot running start | Extend arms to reach height of the jump plus 1.5 × your height | GM may allow a Strength (Athletics) check to jump higher than normal
High Jump (standing) | Half the result of a running high jump | Each foot jumped uses 1 foot of movement | Same as running high jump"
Exploration,The Environment,"By its nature, adventuring involves delving into places that are dark, dangerous, and full of mysteries to be explored. The rules in this section cover some of the most important ways in which adventurers interact with the environment in such places."
The Environment,Falling,"A fall from a great height is one of the most common hazards facing an adventurer. At the end of a fall, a creature takes 1d6 bludgeoning damage for every 10 feet it fell, to a maximum of 20d6. The creature lands prone, unless it avoids taking damage from the fall."
The Environment,Suffocating,"A creature can hold its breath for a number of minutes equal to 1 + its Constitution modifier (minimum of 30 seconds).

When a creature runs out of breath or is choking, it can survive for a number of rounds equal to its Constitution modifier (minimum of 1 round). At the start of its next turn, it drops to 0 hit points and is dying, and it can’t regain hit points or be stabilized until it can breathe again.

For example, a creature with a Constitution of 14 can hold its breath for 3 minutes. If it starts suffocating, it has 2 rounds to reach air before it drops to 0 hit points."
The Environment,Vision and Light,"The most fundamental tasks of adventuring— noticing danger, finding hidden objects, hitting an enemy in combat, and targeting a spell, to name just a few—rely heavily on a character’s ability to see. Darkness and other effects that obscure vision can prove a significant hindrance.

A given area might be lightly or heavily obscured. In a **lightly obscured** area, such as dim light, patchy fog, or moderate foliage, creatures have disadvantage on Wisdom (Perception) checks that rely on sight.

A **heavily obscured** area—such as darkness, opaque fog, or dense foliage—blocks vision entirely. A creature effectively suffers from the blinded condition (see appendix A) when trying to see something in that area.

The presence or absence of light in an environment creates three categories of illumination: bright light, dim light, and darkness.

**Bright light** lets most creatures see normally.

Even gloomy days provide bright light, as do torches, lanterns, fires, and other sources of illumination within a specific radius.

**Dim light**, also called shadows, creates a lightly obscured area. An area of dim light is usually a boundary between a source of bright light, such as a torch, and surrounding darkness. The soft light of twilight and dawn also counts as dim light. A particularly brilliant full moon might bathe the land in dim light.

**Darkness** creates a heavily obscured area.

Characters face darkness outdoors at night (even most moonlit nights), within the confines of an unlit dungeon or a subterranean vault, or in an area of magical darkness."
The Environment,Blindsight,"A creature with blindsight can perceive its surroundings without relying on sight, within a specific radius. Creatures without eyes, such as oozes, and creatures with echolocation or heightened senses, such as bats and true dragons, have this sense."
The Environment,Darkvision,"Many creatures in fantasy gaming worlds, especially those that dwell underground, have darkvision. Within a specified range, a creature with darkvision can see in darkness as if the darkness were dim light, so areas of darkness are only lightly obscured as far as that creature is concerned. However, the creature can’t discern color in darkness, only shades of gray."
The Environment,Truesight,"A creature with truesight can, out to a specific range, see in normal and magical darkness, see invisible creatures and objects, automatically detect visual illusions and succeed on saving throws against them, and perceives the original form of a shapechanger or a creature that is transformed by magic. Furthermore, the creature can see into the Ethereal Plane."
The Environment,Food and Water,Characters who don’t eat or drink suffer the effects of exhaustion (see appendix A). Exhaustion caused by lack of food or water can’t be removed until the character eats and drinks the full required amount.
